Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","35","Cabo Verde","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","421","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","26.02","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2492","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","65.95","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","206","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","19.02","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2733","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","71.89","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","117","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","11.26","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3566","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","104.12","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","888","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","56.75","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","1786","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","44.58","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","252","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","19.77","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2115","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","61.51","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","124","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.34","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3029","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","91.64","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","809","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","49.6","Fc","Calculated data"
"FBS","New Food Balances","351","China","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3191","Fc","Calculated data"
